session_id,user_id,role,fecha,hora_inicio,n_clics,duracion_min,M1_costo_clics,M2_tiempo_top1_s,M3_tasa_error,costo_sesion_total
bot_Administrador_a86b_20260504104907,bot_Administrador_a86b,Administrador,2026-05-04,10,4,80.32,2.75,0.0,0.0,11.0
bot_Administrador_a86b_20260504124136,bot_Administrador_a86b,Administrador,2026-05-04,12,3,23.03,3.0,14.0,0.0,9.0
bot_Administrador_a86b_20260504134219,bot_Administrador_a86b,Administrador,2026-05-04,13,6,60.22,2.667,1579.0,0.0,16.0
bot_Administrador_a86b_20260504161108,bot_Administrador_a86b,Administrador,2026-05-04,16,4,27.98,2.5,1009.0,0.0,10.0
bot_Administrador_a86b_20260504171714,bot_Administrador_a86b,Administrador,2026-05-04,17,13,101.75,2.538,1142.0,0.1538,33.0
bot_Administrador_a86b_20260505071336,bot_Administrador_a86b,Administrador,2026-05-05,7,24,108.35,2.5,595.0,0.1667,60.0
bot_Administrador_a86b_20260505110917,bot_Administrador_a86b,Administrador,2026-05-05,11,4,5.0,2.75,25.0,0.0,11.0
bot_Administrador_a86b_20260505120026,bot_Administrador_a86b,Administrador,2026-05-05,12,5,47.58,3.0,2855.0,0.2,15.0
bot_Administrador_a86b_20260505142506,bot_Administrador_a86b,Administrador,2026-05-05,14,5,40.28,2.4,1929.0,0.0,12.0
bot_Administrador_a86b_20260505153804,bot_Administrador_a86b,Administrador,2026-05-05,15,2,5.2,3.0,312.0,0.0,6.0
bot_Administrador_a86b_20260505172243,bot_Administrador_a86b,Administrador,2026-05-05,17,20,82.33,2.6,767.0,0.05,52.0
bot_Administrador_a86b_20260506070834,bot_Administrador_a86b,Administrador,2026-05-06,7,23,57.15,2.826,0.0,0.0435,65.0
bot_Administrador_a86b_20260506092805,bot_Administrador_a86b,Administrador,2026-05-06,9,5,45.32,2.8,730.0,0.4,14.0
bot_Administrador_a86b_20260506111130,bot_Administrador_a86b,Administrador,2026-05-06,11,4,28.95,2.75,1715.0,0.0,11.0
bot_Administrador_a86b_20260506122049,bot_Administrador_a86b,Administrador,2026-05-06,12,3,1.43,2.667,37.0,0.0,8.0
bot_Administrador_a86b_20260506153311,bot_Administrador_a86b,Administrador,2026-05-06,15,3,0.83,3.0,0.0,0.0,9.0
bot_Administrador_a86b_20260506162311,bot_Administrador_a86b,Administrador,2026-05-06,16,2,7.62,3.0,457.0,0.0,6.0
bot_Administrador_a86b_20260506171524,bot_Administrador_a86b,Administrador,2026-05-06,17,22,103.77,2.545,581.0,0.0909,56.0
bot_Administrador_a86b_20260507070420,bot_Administrador_a86b,Administrador,2026-05-07,7,23,76.22,2.478,857.0,0.0,57.0
bot_Administrador_a86b_20260507090545,bot_Administrador_a86b,Administrador,2026-05-07,9,6,23.35,2.333,1396.0,0.0,14.0
bot_Administrador_a86b_20260507101206,bot_Administrador_a86b,Administrador,2026-05-07,10,3,25.12,2.667,1507.0,0.0,8.0
bot_Administrador_a86b_20260507120015,bot_Administrador_a86b,Administrador,2026-05-07,12,8,72.1,3.0,2819.0,0.0,24.0
bot_Administrador_a86b_20260507164919,bot_Administrador_a86b,Administrador,2026-05-07,16,26,116.0,2.615,4361.0,0.0385,68.0
bot_Caja_1125_20260501082736,bot_Caja_1125,Caja,2026-05-01,8,19,100.62,2.0,1739.0,0.2105,38.0
bot_Caja_1125_20260501105922,bot_Caja_1125,Caja,2026-05-01,10,5,45.65,2.0,877.0,0.0,10.0
bot_Caja_1125_20260501123601,bot_Caja_1125,Caja,2026-05-01,12,5,11.22,2.0,0.0,0.0,10.0
bot_Caja_1125_20260501131912,bot_Caja_1125,Caja,2026-05-01,13,24,200.53,2.0,1322.0,0.25,48.0
bot_Caja_1125_20260501172815,bot_Caja_1125,Caja,2026-05-01,17,5,30.92,2.0,0.0,0.0,10.0
bot_Caja_1125_20260502080917,bot_Caja_1125,Caja,2026-05-02,8,2,16.93,2.0,0.0,0.0,4.0
bot_Caja_1125_20260502101553,bot_Caja_1125,Caja,2026-05-02,10,2,0.42,2.0,0.0,0.5,4.0
bot_Caja_1125_20260502134438,bot_Caja_1125,Caja,2026-05-02,13,5,20.05,2.0,1203.0,0.0,10.0
bot_Caja_1125_20260502144354,bot_Caja_1125,Caja,2026-05-02,14,5,15.12,2.0,884.0,0.2,10.0
bot_Caja_1125_20260502173438,bot_Caja_1125,Caja,2026-05-02,17,2,0.72,2.0,0.0,0.0,4.0
bot_Caja_1125_20260503105429,bot_Caja_1125,Caja,2026-05-03,10,2,0.17,2.0,0.0,0.5,4.0
bot_Caja_1125_20260503130603,bot_Caja_1125,Caja,2026-05-03,13,7,76.53,2.0,858.0,0.1429,14.0
bot_Caja_1125_20260504080726,bot_Caja_1125,Caja,2026-05-04,8,16,123.37,2.0,0.0,0.375,32.0
bot_Caja_1125_20260504115824,bot_Caja_1125,Caja,2026-05-04,11,11,54.73,2.0,1768.0,0.1818,22.0
bot_Caja_1125_20260504132508,bot_Caja_1125,Caja,2026-05-04,13,9,59.73,2.0,829.0,0.1111,18.0
bot_Caja_1125_20260504153916,bot_Caja_1125,Caja,2026-05-04,15,6,42.93,2.0,1722.0,0.0,12.0
bot_Caja_1125_20260504165811,bot_Caja_1125,Caja,2026-05-04,16,3,20.23,2.0,0.0,0.3333,6.0
bot_Caja_1125_20260505080302,bot_Caja_1125,Caja,2026-05-05,8,5,30.28,2.0,0.0,0.4,10.0
bot_Caja_1125_20260505093109,bot_Caja_1125,Caja,2026-05-05,9,11,75.42,2.0,200.0,0.1818,22.0
bot_Caja_1125_20260505114934,bot_Caja_1125,Caja,2026-05-05,11,3,12.1,2.0,0.0,0.0,6.0
bot_Caja_1125_20260505124037,bot_Caja_1125,Caja,2026-05-05,12,10,77.02,2.0,0.0,0.4,20.0
bot_Caja_1125_20260505144400,bot_Caja_1125,Caja,2026-05-05,14,4,1.43,2.0,77.0,0.0,8.0
bot_Caja_1125_20260505154314,bot_Caja_1125,Caja,2026-05-05,15,4,15.92,2.0,955.0,0.0,8.0
bot_Caja_1125_20260505163910,bot_Caja_1125,Caja,2026-05-05,16,3,0.73,2.0,44.0,0.0,6.0
bot_Caja_1125_20260506083913,bot_Caja_1125,Caja,2026-05-06,8,3,7.25,2.0,37.0,0.0,6.0
bot_Caja_1125_20260506091957,bot_Caja_1125,Caja,2026-05-06,9,4,8.32,2.0,0.0,0.25,8.0
bot_Caja_1125_20260506100140,bot_Caja_1125,Caja,2026-05-06,10,4,20.6,2.0,0.0,0.25,8.0
bot_Caja_1125_20260506112217,bot_Caja_1125,Caja,2026-05-06,11,31,306.93,2.0,0.0,0.3871,62.0
bot_Caja_1125_20260506172907,bot_Caja_1125,Caja,2026-05-06,17,3,27.3,2.0,0.0,0.0,6.0
bot_Caja_1125_20260507082714,bot_Caja_1125,Caja,2026-05-07,8,22,204.75,2.0,419.0,0.3182,44.0
bot_Caja_1125_20260507125437,bot_Caja_1125,Caja,2026-05-07,12,15,100.03,2.0,810.0,0.1333,30.0
bot_Caja_1125_20260507161720,bot_Caja_1125,Caja,2026-05-07,16,8,83.97,2.0,636.0,0.25,16.0
bot_Caja_22f0_20260501082715,bot_Caja_22f0,Caja,2026-05-01,8,6,42.77,2.0,0.0,0.0,12.0
bot_Caja_22f0_20260501094712,bot_Caja_22f0,Caja,2026-05-01,9,6,53.63,2.0,3218.0,0.0,12.0
bot_Caja_22f0_20260501111619,bot_Caja_22f0,Caja,2026-05-01,11,50,392.43,2.0,0.0,0.16,100.0
bot_Caja_22f0_20260502134716,bot_Caja_22f0,Caja,2026-05-02,13,5,4.32,2.0,249.0,0.0,10.0
bot_Caja_22f0_20260502143837,bot_Caja_22f0,Caja,2026-05-02,14,3,9.33,2.0,0.0,0.0,6.0
bot_Caja_22f0_20260502154506,bot_Caja_22f0,Caja,2026-05-02,15,5,8.58,2.0,0.0,0.2,10.0
bot_Caja_22f0_20260502170402,bot_Caja_22f0,Caja,2026-05-02,17,4,24.05,2.0,1443.0,0.0,8.0
bot_Caja_22f0_20260503081633,bot_Caja_22f0,Caja,2026-05-03,8,5,5.23,2.0,0.0,0.0,10.0
bot_Caja_22f0_20260503092217,bot_Caja_22f0,Caja,2026-05-03,9,3,17.55,2.0,0.0,0.6667,6.0
bot_Caja_22f0_20260503144919,bot_Caja_22f0,Caja,2026-05-03,14,2,0.47,2.0,0.0,0.5,4.0
bot_Caja_22f0_20260504081743,bot_Caja_22f0,Caja,2026-05-04,8,4,10.35,2.0,0.0,0.75,8.0
bot_Caja_22f0_20260504093643,bot_Caja_22f0,Caja,2026-05-04,9,2,0.73,2.0,0.0,0.0,4.0
bot_Caja_22f0_20260504103035,bot_Caja_22f0,Caja,2026-05-04,10,2,0.18,2.0,0.0,0.5,4.0
bot_Caja_22f0_20260504112422,bot_Caja_22f0,Caja,2026-05-04,11,4,26.57,2.0,0.0,0.25,8.0
bot_Caja_22f0_20260504122705,bot_Caja_22f0,Caja,2026-05-04,12,11,95.32,2.0,0.0,0.4545,22.0
bot_Caja_22f0_20260504145247,bot_Caja_22f0,Caja,2026-05-04,14,2,24.5,2.0,1470.0,0.5,4.0
bot_Caja_22f0_20260504154751,bot_Caja_22f0,Caja,2026-05-04,15,13,58.5,2.0,0.0,0.2308,26.0
bot_Caja_22f0_20260505082354,bot_Caja_22f0,Caja,2026-05-05,8,13,118.83,2.0,0.0,0.0769,26.0
bot_Caja_22f0_20260505110140,bot_Caja_22f0,Caja,2026-05-05,11,3,26.17,2.0,0.0,0.0,6.0
bot_Caja_22f0_20260505123405,bot_Caja_22f0,Caja,2026-05-05,12,11,110.73,2.0,1788.0,0.0909,22.0
bot_Caja_22f0_20260505154824,bot_Caja_22f0,Caja,2026-05-05,15,5,19.38,2.0,1163.0,0.2,10.0
bot_Caja_22f0_20260505170153,bot_Caja_22f0,Caja,2026-05-05,17,8,54.17,2.0,1162.0,0.125,16.0
bot_Caja_22f0_20260506081423,bot_Caja_22f0,Caja,2026-05-06,8,13,74.92,2.0,0.0,0.3077,26.0
bot_Caja_22f0_20260506111440,bot_Caja_22f0,Caja,2026-05-06,11,6,38.28,2.0,0.0,0.1667,12.0
bot_Caja_22f0_20260506123624,bot_Caja_22f0,Caja,2026-05-06,12,8,81.95,2.0,0.0,0.5,16.0
bot_Caja_22f0_20260506142933,bot_Caja_22f0,Caja,2026-05-06,14,8,32.82,2.0,1010.0,0.125,16.0
bot_Caja_22f0_20260506164648,bot_Caja_22f0,Caja,2026-05-06,16,10,65.58,2.0,0.0,0.1,20.0
bot_Caja_22f0_20260507080913,bot_Caja_22f0,Caja,2026-05-07,8,3,16.7,2.0,0.0,0.6667,6.0
bot_Caja_22f0_20260507085841,bot_Caja_22f0,Caja,2026-05-07,8,10,36.87,2.0,1262.0,0.0,20.0
bot_Caja_22f0_20260507101316,bot_Caja_22f0,Caja,2026-05-07,10,13,71.5,2.0,207.0,0.3077,26.0
bot_Caja_22f0_20260507120123,bot_Caja_22f0,Caja,2026-05-07,12,16,116.75,2.0,0.0,0.25,32.0
bot_Caja_22f0_20260507145032,bot_Caja_22f0,Caja,2026-05-07,15,4,15.13,2.0,0.0,0.0,8.0
bot_Caja_22f0_20260507155939,bot_Caja_22f0,Caja,2026-05-07,15,12,114.15,2.0,4072.0,0.0,24.0
bot_Compras_6cd7_20260501090421,bot_Compras_6cd7,Compras,2026-05-01,9,10,58.77,2.0,746.0,0.0,20.0
bot_Compras_6cd7_20260501110014,bot_Compras_6cd7,Compras,2026-05-01,11,7,102.07,2.0,0.0,0.0,14.0
bot_Compras_6cd7_20260501141343,bot_Compras_6cd7,Compras,2026-05-01,14,8,73.23,2.0,820.0,0.0,16.0
bot_Compras_6cd7_20260501161755,bot_Compras_6cd7,Compras,2026-05-01,16,3,0.93,2.0,56.0,0.0,6.0
bot_Compras_6cd7_20260501165300,bot_Compras_6cd7,Compras,2026-05-01,16,5,28.58,2.0,0.0,0.2,10.0
bot_Compras_6cd7_20260502092145,bot_Compras_6cd7,Compras,2026-05-02,9,2,0.23,2.0,0.0,0.0,4.0
bot_Compras_6cd7_20260502112957,bot_Compras_6cd7,Compras,2026-05-02,11,2,0.4,2.0,24.0,0.0,4.0
bot_Compras_6cd7_20260502121320,bot_Compras_6cd7,Compras,2026-05-02,12,5,13.92,2.0,835.0,0.0,10.0
bot_Compras_6cd7_20260502144844,bot_Compras_6cd7,Compras,2026-05-02,14,5,57.3,2.0,0.0,0.0,10.0
bot_Compras_6cd7_20260503101606,bot_Compras_6cd7,Compras,2026-05-03,10,2,6.93,2.0,416.0,0.0,4.0
bot_Compras_6cd7_20260503141434,bot_Compras_6cd7,Compras,2026-05-03,14,3,36.38,2.0,0.0,0.3333,6.0
bot_Compras_6cd7_20260504095905,bot_Compras_6cd7,Compras,2026-05-04,9,2,0.45,2.0,0.0,0.0,4.0
bot_Compras_6cd7_20260504135609,bot_Compras_6cd7,Compras,2026-05-04,13,3,2.37,2.0,142.0,0.0,6.0
bot_Compras_6cd7_20260504142839,bot_Compras_6cd7,Compras,2026-05-04,14,2,3.43,2.0,206.0,0.0,4.0
bot_Compras_6cd7_20260504150729,bot_Compras_6cd7,Compras,2026-05-04,15,24,119.0,2.0,2352.0,0.0833,48.0
bot_Compras_6cd7_20260505080744,bot_Compras_6cd7,Compras,2026-05-05,8,5,37.93,2.0,0.0,0.0,10.0
bot_Compras_6cd7_20260505095346,bot_Compras_6cd7,Compras,2026-05-05,9,8,50.72,2.0,260.0,0.125,16.0
bot_Compras_6cd7_20260505112829,bot_Compras_6cd7,Compras,2026-05-05,11,6,62.52,2.0,3751.0,0.0,12.0
bot_Compras_6cd7_20260505141001,bot_Compras_6cd7,Compras,2026-05-05,14,2,23.9,2.0,0.0,0.0,4.0
bot_Compras_6cd7_20260505151832,bot_Compras_6cd7,Compras,2026-05-05,15,14,77.52,2.0,0.0,0.0,28.0
bot_Compras_6cd7_20260506091913,bot_Compras_6cd7,Compras,2026-05-06,9,3,31.67,2.0,1900.0,0.3333,6.0
bot_Compras_6cd7_20260506111208,bot_Compras_6cd7,Compras,2026-05-06,11,5,50.1,2.0,3006.0,0.0,10.0
bot_Compras_6cd7_20260506144000,bot_Compras_6cd7,Compras,2026-05-06,14,2,4.38,2.0,263.0,0.5,4.0
bot_Compras_6cd7_20260506154347,bot_Compras_6cd7,Compras,2026-05-06,15,17,116.98,2.0,0.0,0.1176,34.0
bot_Compras_6cd7_20260507083340,bot_Compras_6cd7,Compras,2026-05-07,8,3,13.35,2.0,771.0,0.0,6.0
bot_Compras_6cd7_20260507092445,bot_Compras_6cd7,Compras,2026-05-07,9,6,61.73,2.0,1253.0,0.0,12.0
bot_Compras_6cd7_20260507111012,bot_Compras_6cd7,Compras,2026-05-07,11,13,34.12,2.0,971.0,0.1538,26.0
bot_Compras_6cd7_20260507144135,bot_Compras_6cd7,Compras,2026-05-07,14,3,7.8,2.0,0.0,0.0,6.0
bot_Compras_6cd7_20260507171323,bot_Compras_6cd7,Compras,2026-05-07,17,2,20.12,2.0,0.0,0.5,4.0
bot_Compras_b1d2_20260501080736,bot_Compras_b1d2,Compras,2026-05-01,8,9,93.72,2.0,0.0,0.1111,18.0
bot_Compras_b1d2_20260501104407,bot_Compras_b1d2,Compras,2026-05-01,10,5,50.45,2.0,3027.0,0.0,10.0
bot_Compras_b1d2_20260501123441,bot_Compras_b1d2,Compras,2026-05-01,12,2,0.3,2.0,18.0,0.0,4.0
bot_Compras_b1d2_20260501143601,bot_Compras_b1d2,Compras,2026-05-01,14,4,5.03,2.0,57.0,0.0,8.0
bot_Compras_b1d2_20260501151618,bot_Compras_b1d2,Compras,2026-05-01,15,5,75.17,2.0,2640.0,0.2,10.0
bot_Compras_b1d2_20260502113420,bot_Compras_b1d2,Compras,2026-05-02,11,2,0.6,2.0,36.0,0.0,4.0
bot_Compras_b1d2_20260502142558,bot_Compras_b1d2,Compras,2026-05-02,14,3,14.83,2.0,890.0,0.0,6.0
bot_Compras_b1d2_20260502155108,bot_Compras_b1d2,Compras,2026-05-02,15,2,2.87,2.0,0.0,0.0,4.0
bot_Compras_b1d2_20260503080738,bot_Compras_b1d2,Compras,2026-05-03,8,3,0.57,2.0,34.0,0.0,6.0
bot_Compras_b1d2_20260503130146,bot_Compras_b1d2,Compras,2026-05-03,13,2,0.47,2.0,28.0,0.0,4.0
bot_Compras_b1d2_20260503144238,bot_Compras_b1d2,Compras,2026-05-03,14,3,20.48,2.0,0.0,0.0,6.0
bot_Compras_b1d2_20260504080249,bot_Compras_b1d2,Compras,2026-05-04,8,2,0.42,2.0,0.0,0.0,4.0
bot_Compras_b1d2_20260504084320,bot_Compras_b1d2,Compras,2026-05-04,8,21,84.33,2.0,0.0,0.0952,42.0
bot_Compras_b1d2_20260504105646,bot_Compras_b1d2,Compras,2026-05-04,10,6,43.38,2.0,2603.0,0.0,12.0
bot_Compras_b1d2_20260504121715,bot_Compras_b1d2,Compras,2026-05-04,12,4,39.0,2.0,0.0,0.25,8.0
bot_Compras_b1d2_20260504140418,bot_Compras_b1d2,Compras,2026-05-04,14,4,12.02,2.0,0.0,0.25,8.0
bot_Compras_b1d2_20260504145625,bot_Compras_b1d2,Compras,2026-05-04,14,4,25.63,2.0,1532.0,0.0,8.0
bot_Compras_b1d2_20260504155251,bot_Compras_b1d2,Compras,2026-05-04,15,6,33.35,2.0,40.0,0.0,12.0
bot_Compras_b1d2_20260504171305,bot_Compras_b1d2,Compras,2026-05-04,17,4,42.4,2.0,396.0,0.25,8.0
bot_Compras_b1d2_20260505082038,bot_Compras_b1d2,Compras,2026-05-05,8,2,8.73,2.0,524.0,0.5,4.0
bot_Compras_b1d2_20260505092901,bot_Compras_b1d2,Compras,2026-05-05,9,18,177.48,2.0,28.0,0.1667,36.0
bot_Compras_b1d2_20260505141054,bot_Compras_b1d2,Compras,2026-05-05,14,30,177.33,2.0,1995.0,0.2,60.0
bot_Compras_b1d2_20260506080830,bot_Compras_b1d2,Compras,2026-05-06,8,7,60.87,2.0,2321.0,0.1429,14.0
bot_Compras_b1d2_20260506094350,bot_Compras_b1d2,Compras,2026-05-06,9,5,33.42,2.0,0.0,0.0,10.0
bot_Compras_b1d2_20260506105008,bot_Compras_b1d2,Compras,2026-05-06,10,10,102.1,2.0,74.0,0.3,20.0
bot_Compras_b1d2_20260506130500,bot_Compras_b1d2,Compras,2026-05-06,13,4,12.27,2.0,48.0,0.0,8.0
bot_Compras_b1d2_20260506140555,bot_Compras_b1d2,Compras,2026-05-06,14,4,12.45,2.0,0.0,0.25,8.0
bot_Compras_b1d2_20260506145301,bot_Compras_b1d2,Compras,2026-05-06,14,2,0.57,2.0,34.0,0.0,4.0
bot_Compras_b1d2_20260506152632,bot_Compras_b1d2,Compras,2026-05-06,15,5,45.67,2.0,1130.0,0.0,10.0
bot_Compras_b1d2_20260506171248,bot_Compras_b1d2,Compras,2026-05-06,17,3,0.73,2.0,40.0,0.0,6.0
bot_Compras_b1d2_20260507080919,bot_Compras_b1d2,Compras,2026-05-07,8,19,79.43,2.0,881.0,0.1053,38.0
bot_Compras_b1d2_20260507102412,bot_Compras_b1d2,Compras,2026-05-07,10,3,14.42,2.0,865.0,0.0,6.0
bot_Compras_b1d2_20260507115417,bot_Compras_b1d2,Compras,2026-05-07,11,2,10.8,2.0,0.0,0.0,4.0
bot_Compras_b1d2_20260507140224,bot_Compras_b1d2,Compras,2026-05-07,14,4,15.8,2.0,948.0,0.0,8.0
bot_Compras_b1d2_20260507153117,bot_Compras_b1d2,Compras,2026-05-07,15,3,26.23,2.0,1484.0,0.0,6.0
bot_Logistica_7037_20260501070035,bot_Logistica_7037,Logistica,2026-05-01,7,14,54.32,2.0,0.0,0.0714,28.0
bot_Logistica_7037_20260501084227,bot_Logistica_7037,Logistica,2026-05-01,8,12,86.6,2.0,19.0,0.3333,24.0
bot_Logistica_7037_20260501125502,bot_Logistica_7037,Logistica,2026-05-01,12,33,247.22,2.0,750.0,0.1515,66.0
bot_Logistica_7037_20260501173515,bot_Logistica_7037,Logistica,2026-05-01,17,2,24.12,2.0,1447.0,0.0,4.0
bot_Logistica_7037_20260502130211,bot_Logistica_7037,Logistica,2026-05-02,13,5,12.43,2.0,42.0,0.0,10.0
bot_Logistica_7037_20260502141553,bot_Logistica_7037,Logistica,2026-05-02,14,4,24.28,2.0,0.0,0.0,8.0
bot_Logistica_7037_20260502153955,bot_Logistica_7037,Logistica,2026-05-02,15,3,0.48,2.0,29.0,0.0,6.0
bot_Logistica_7037_20260502161233,bot_Logistica_7037,Logistica,2026-05-02,16,2,24.18,2.0,1451.0,0.0,4.0
bot_Logistica_7037_20260503073512,bot_Logistica_7037,Logistica,2026-05-03,7,7,17.5,2.0,948.0,0.0,14.0
bot_Logistica_7037_20260503103037,bot_Logistica_7037,Logistica,2026-05-03,10,2,18.47,2.0,1108.0,0.0,4.0
bot_Logistica_7037_20260503124937,bot_Logistica_7037,Logistica,2026-05-03,12,2,23.97,2.0,1438.0,0.0,4.0
bot_Logistica_7037_20260504071003,bot_Logistica_7037,Logistica,2026-05-04,7,13,48.88,2.0,643.0,0.3077,26.0
bot_Logistica_7037_20260504090511,bot_Logistica_7037,Logistica,2026-05-04,9,3,33.57,2.0,0.0,0.6667,6.0
bot_Logistica_7037_20260504101037,bot_Logistica_7037,Logistica,2026-05-04,10,14,50.05,2.0,0.0,0.0714,28.0
bot_Logistica_7037_20260504121042,bot_Logistica_7037,Logistica,2026-05-04,12,3,20.4,2.0,0.0,0.0,6.0
bot_Logistica_7037_20260504130212,bot_Logistica_7037,Logistica,2026-05-04,13,10,58.78,2.0,0.0,0.0,20.0
bot_Logistica_7037_20260504150313,bot_Logistica_7037,Logistica,2026-05-04,15,2,0.2,2.0,12.0,0.0,4.0
bot_Logistica_7037_20260504154227,bot_Logistica_7037,Logistica,2026-05-04,15,2,0.77,2.0,0.0,0.0,4.0
bot_Logistica_7037_20260504162705,bot_Logistica_7037,Logistica,2026-05-04,16,3,9.7,2.0,200.0,0.0,6.0
bot_Logistica_7037_20260504175302,bot_Logistica_7037,Logistica,2026-05-04,17,4,7.02,2.0,421.0,0.0,8.0
bot_Logistica_7037_20260505070325,bot_Logistica_7037,Logistica,2026-05-05,7,12,70.6,2.0,1805.0,0.25,24.0
bot_Logistica_7037_20260505084608,bot_Logistica_7037,Logistica,2026-05-05,8,3,1.3,2.0,13.0,0.0,6.0
bot_Logistica_7037_20260505093208,bot_Logistica_7037,Logistica,2026-05-05,9,24,153.1,2.0,0.0,0.0833,48.0
bot_Logistica_7037_20260505125259,bot_Logistica_7037,Logistica,2026-05-05,12,27,217.53,2.0,40.0,0.1111,54.0
bot_Logistica_7037_20260505171043,bot_Logistica_7037,Logistica,2026-05-05,17,5,45.67,2.0,1959.0,0.0,10.0
bot_Logistica_7037_20260506070901,bot_Logistica_7037,Logistica,2026-05-06,7,30,77.8,2.0,381.0,0.2333,60.0
bot_Logistica_7037_20260506090123,bot_Logistica_7037,Logistica,2026-05-06,9,5,18.0,2.0,986.0,0.2,10.0
bot_Logistica_7037_20260506100900,bot_Logistica_7037,Logistica,2026-05-06,10,8,32.87,2.0,24.0,0.125,16.0
bot_Logistica_7037_20260506111926,bot_Logistica_7037,Logistica,2026-05-06,11,2,24.75,2.0,1485.0,0.0,4.0
bot_Logistica_7037_20260506122331,bot_Logistica_7037,Logistica,2026-05-06,12,12,90.08,2.0,762.0,0.0833,24.0
bot_Logistica_7037_20260506143737,bot_Logistica_7037,Logistica,2026-05-06,14,10,42.08,2.0,0.0,0.0,20.0
bot_Logistica_7037_20260506155718,bot_Logistica_7037,Logistica,2026-05-06,15,9,70.35,2.0,0.0,0.0,18.0
bot_Logistica_7037_20260506173953,bot_Logistica_7037,Logistica,2026-05-06,17,2,0.58,2.0,0.0,0.5,4.0
bot_Logistica_7037_20260507070550,bot_Logistica_7037,Logistica,2026-05-07,7,13,37.7,2.0,16.0,0.1538,26.0
bot_Logistica_7037_20260507091759,bot_Logistica_7037,Logistica,2026-05-07,9,9,35.88,2.0,513.0,0.2222,18.0
bot_Logistica_7037_20260507105356,bot_Logistica_7037,Logistica,2026-05-07,10,13,56.15,2.0,1027.0,0.0,26.0
bot_Logistica_7037_20260507125955,bot_Logistica_7037,Logistica,2026-05-07,12,16,94.25,2.0,10.0,0.0,32.0
bot_Logistica_7037_20260507151053,bot_Logistica_7037,Logistica,2026-05-07,15,3,0.87,2.0,52.0,0.0,6.0
bot_Logistica_7037_20260507170713,bot_Logistica_7037,Logistica,2026-05-07,17,11,33.15,2.0,84.0,0.0909,22.0
bot_Logistica_97c4_20260501071543,bot_Logistica_97c4,Logistica,2026-05-01,7,10,15.87,2.0,450.0,0.1,20.0
bot_Logistica_97c4_20260501081126,bot_Logistica_97c4,Logistica,2026-05-01,8,4,4.68,2.0,182.0,0.25,8.0
bot_Logistica_97c4_20260501084628,bot_Logistica_97c4,Logistica,2026-05-01,8,3,33.52,2.0,0.0,0.0,6.0
bot_Logistica_97c4_20260501095211,bot_Logistica_97c4,Logistica,2026-05-01,9,3,24.32,2.0,1459.0,0.3333,6.0
bot_Logistica_97c4_20260501123213,bot_Logistica_97c4,Logistica,2026-05-01,12,3,0.77,2.0,46.0,0.0,6.0
bot_Logistica_97c4_20260501131858,bot_Logistica_97c4,Logistica,2026-05-01,13,27,142.93,2.0,1577.0,0.0741,54.0
bot_Logistica_97c4_20260501162618,bot_Logistica_97c4,Logistica,2026-05-01,16,9,78.05,2.0,1225.0,0.1111,18.0
bot_Logistica_97c4_20260502071621,bot_Logistica_97c4,Logistica,2026-05-02,7,6,10.25,2.0,343.0,0.0,12.0
