session_id,user_id,role,fecha,hora_inicio,n_clics,duracion_min,M1_pre,M2_pre,M3_pre,costo_sesion_total,M1_post,M2_post,M3_post
us_adm_001_20260305170046,us_adm_001,Administrador,2026-03-05,17,55,175.9,3.0,2018.4,0.3636,165.0,3.0,865.0385457561569,0.12548768936194157
us_adm_001_20260306170225,us_adm_001,Administrador,2026-03-06,17,56,175.13,3.0,212.2,0.4464,168.0,3.0,95.57066232891583,0.1546249693600506
us_adm_001_20260307170031,us_adm_001,Administrador,2026-03-07,17,53,175.18,3.0,501.6,0.3019,159.0,3.0,209.3547122014801,0.1080267251773627
us_adm_001_20260308170248,us_adm_001,Administrador,2026-03-08,17,48,176.96,3.0,448.4,0.25,144.0,3.0,191.53003448885272,0.09148086537898238
us_adm_001_20260309170010,us_adm_001,Administrador,2026-03-09,17,59,179.4,3.0,249.9,0.2542,177.0,3.0,107.45665316117044,0.09848986651510919
us_adm_001_20260310170252,us_adm_001,Administrador,2026-03-10,17,44,169.96,3.0,1885.1,0.2727,132.0,3.0,815.7243005013717,0.09544783132932394
us_adm_001_20260311170411,us_adm_001,Administrador,2026-03-11,17,60,172.88,3.0,13.8,0.35,180.0,3.0,10.0,0.11614201430109138
us_adm_001_20260312171019,us_adm_001,Administrador,2026-03-12,17,57,168.97,3.0,31.3,0.2982,171.0,3.0,14.176906048094446,0.11408967035428237
us_adm_001_20260313170009,us_adm_001,Administrador,2026-03-13,17,55,176.62,3.0,2503.7,0.3273,165.0,3.0,1042.1336587061296,0.11787522614117829
us_adm_001_20260314170008,us_adm_001,Administrador,2026-03-14,17,49,179.55,3.0,75.9,0.1837,147.0,3.0,34.427082726830406,0.06835257852123244
us_adm_001_20260315170511,us_adm_001,Administrador,2026-03-15,17,57,174.22,3.0,1042.6,0.3333,171.0,3.0,441.6954908735445,0.1100031587978254
us_adm_001_20260316170549,us_adm_001,Administrador,2026-03-16,17,45,173.25,3.0,1187.3,0.2444,135.0,3.0,544.764024417139,0.08856843527631222
us_adm_001_20260317170146,us_adm_001,Administrador,2026-03-17,17,49,176.09,3.0,389.2,0.2857,147.0,3.0,176.46209441160846,0.10381783087551735
us_adm_001_20260318171439,us_adm_001,Administrador,2026-03-18,17,44,150.56,3.0,571.7,0.3864,132.0,3.0,248.56750055927807,0.13952775979746673
us_adm_001_20260319171805,us_adm_001,Administrador,2026-03-19,17,40,154.76,3.0,894.6,0.325,120.0,3.0,406.3707494664536,0.11120348997637704
us_adm_001_20260320170444,us_adm_001,Administrador,2026-03-20,17,47,168.7,3.0,52.5,0.3191,141.0,3.0,25.49938581734716,0.11676771137867842
us_adm_001_20260321170138,us_adm_001,Administrador,2026-03-21,17,47,176.02,3.0,463.5,0.3404,141.0,3.0,196.78403593577022,0.12580594599983722
us_adm_001_20260322170145,us_adm_001,Administrador,2026-03-22,17,56,167.02,3.0,655.8,0.2679,168.0,3.0,281.26833327781463,0.09971058640362629
us_adm_001_20260323170126,us_adm_001,Administrador,2026-03-23,17,61,171.33,3.0,0.0,0.3443,183.0,3.0,10.0,0.1170750718784108
us_adm_001_20260324170423,us_adm_001,Administrador,2026-03-24,17,45,171.69,3.0,270.4,0.3111,135.0,3.0,126.45380907469524,0.11346041970159247
us_adm_001_20260325171540,us_adm_001,Administrador,2026-03-25,17,42,159.39,3.0,0.0,0.4286,126.0,3.0,10.0,0.16903447073763225
us_adm_001_20260326170028,us_adm_001,Administrador,2026-03-26,17,46,177.36,3.0,0.0,0.3913,138.0,3.0,10.0,0.13358077690677056
us_adm_001_20260327170208,us_adm_001,Administrador,2026-03-27,17,56,177.14,3.0,108.5,0.3214,168.0,3.0,46.719753687712625,0.10931951987533899
us_adm_001_20260328170548,us_adm_001,Administrador,2026-03-28,17,52,174.01,3.0,387.8,0.2115,156.0,3.0,173.2865152708165,0.07683258898250668
us_adm_001_20260329170028,us_adm_001,Administrador,2026-03-29,17,53,179.09,3.0,0.0,0.3019,159.0,3.0,10.0,0.11260727439316341
us_adm_001_20260330170122,us_adm_001,Administrador,2026-03-30,17,44,174.09,3.0,655.9,0.3182,132.0,3.0,294.267655591848,0.12267319409283564
us_adm_001_20260331170558,us_adm_001,Administrador,2026-03-31,17,60,168.52,3.0,460.5,0.3,180.0,3.0,204.0447686303946,0.1232564988705055
us_adm_001_20260401170456,us_adm_001,Administrador,2026-04-01,17,54,172.74,3.0,0.0,0.4074,162.0,3.0,10.0,0.13823426732709437
us_adm_002_20260101230016,us_adm_002,Administrador,2026-01-01,23,72,238.2,2.986,51.7,0.3056,215.0,1.0,22.074310060230623,0.11188048430519218
us_adm_002_20260102230709,us_adm_002,Administrador,2026-01-02,23,70,228.75,2.957,47.2,0.2286,207.0,1.0,20.95292209839434,0.0847492489686665
us_adm_002_20260103230334,us_adm_002,Administrador,2026-01-03,23,54,229.23,2.981,0.0,0.3519,161.0,1.0,10.0,0.12492275269336613
us_adm_002_20260104231145,us_adm_002,Administrador,2026-01-04,23,64,226.57,3.0,420.7,0.2188,192.0,1.0,181.51152926907568,0.07136264144800049
us_adm_002_20260105230354,us_adm_002,Administrador,2026-01-05,23,56,233.99,3.0,0.0,0.3929,168.0,1.0,10.0,0.14677942043547132
us_adm_002_20260106230908,us_adm_002,Administrador,2026-01-06,23,51,228.96,3.0,0.0,0.3725,153.0,1.0,10.0,0.12349747190504734
us_adm_002_20260107230112,us_adm_002,Administrador,2026-01-07,23,67,235.14,3.0,847.2,0.3284,201.0,1.0,382.8079259947193,0.1195894742274784
us_adm_002_20260108231849,us_adm_002,Administrador,2026-01-08,23,70,220.36,3.0,59.6,0.3429,210.0,1.0,25.67031290379019,0.1232815048410906
us_adm_002_20260109230245,us_adm_002,Administrador,2026-01-09,23,56,237.31,2.982,2343.8,0.3036,167.0,1.0,1053.6582693052299,0.10127859402899184
us_adm_002_20260110230025,us_adm_002,Administrador,2026-01-10,23,60,235.7,3.0,832.1,0.2667,180.0,1.0,379.05720047672264,0.09805686982493851
us_adm_002_20260111230252,us_adm_002,Administrador,2026-01-11,23,65,233.86,3.0,278.3,0.2769,195.0,1.0,130.8143922517717,0.10453740737707254
us_adm_002_20260112230556,us_adm_002,Administrador,2026-01-12,23,65,233.6,3.0,0.0,0.3846,195.0,1.0,10.0,0.12987754011555358
us_adm_002_20260113230700,us_adm_002,Administrador,2026-01-13,23,65,225.46,3.0,0.0,0.3846,195.0,1.0,10.0,0.1410433318569974
us_adm_002_20260114230927,us_adm_002,Administrador,2026-01-14,23,56,229.68,3.0,0.0,0.2857,168.0,1.0,10.0,0.12385273354405273
us_adm_002_20260115230014,us_adm_002,Administrador,2026-01-15,23,32,98.64,3.0,0.0,0.4688,96.0,1.0,10.0,0.17775157957136561
us_adm_002_20260116011121,us_adm_002,Administrador,2026-01-16,1,16,86.1,3.0,252.5,0.25,48.0,1.0,118.03545084112457,0.09236985948233546
us_adm_002_20260116230507,us_adm_002,Administrador,2026-01-16,23,64,234.7,3.0,1036.0,0.2969,192.0,1.0,457.99665350911664,0.11033724310225679
us_adm_002_20260117231005,us_adm_002,Administrador,2026-01-17,23,68,224.13,2.985,42.9,0.3088,203.0,1.0,18.57272241753967,0.10860966634928988
us_adm_002_20260118230056,us_adm_002,Administrador,2026-01-18,23,59,235.89,3.0,628.8,0.3559,177.0,1.0,275.84187447411415,0.12744390915640993
us_adm_002_20260119230507,us_adm_002,Administrador,2026-01-19,23,54,232.22,2.981,0.0,0.3519,161.0,1.0,10.0,0.11229351015518446
us_adm_002_20260120230105,us_adm_002,Administrador,2026-01-20,23,51,234.25,2.98,436.2,0.2549,152.0,1.0,201.5733855137305,0.08263789061770745
us_adm_002_20260121230229,us_adm_002,Administrador,2026-01-21,23,71,233.02,3.0,313.7,0.2817,213.0,1.0,137.69813173210164,0.10654756701815289
us_adm_002_20260122230128,us_adm_002,Administrador,2026-01-22,23,54,235.13,3.0,56.1,0.3889,162.0,1.0,25.226638310457375,0.13024133337533042
us_adm_002_20260123230242,us_adm_002,Administrador,2026-01-23,23,56,231.36,3.0,418.0,0.1786,168.0,1.0,181.4458674421996,0.06608978122371081
us_adm_002_20260124231046,us_adm_002,Administrador,2026-01-24,23,56,228.85,3.0,1451.8,0.3036,168.0,1.0,629.7614615782355,0.10953304623336113
us_adm_002_20260125230012,us_adm_002,Administrador,2026-01-25,23,67,237.91,2.985,522.3,0.2239,200.0,1.0,234.66862408479653,0.07689164977245343
us_adm_002_20260126230424,us_adm_002,Administrador,2026-01-26,23,50,227.81,3.0,249.0,0.28,150.0,1.0,122.32522866161433,0.10335639813788412
us_adm_002_20260127230515,us_adm_002,Administrador,2026-01-27,23,56,227.22,3.0,290.9,0.375,168.0,1.0,118.65352688243895,0.1350677621994804
us_adm_002_20260128230548,us_adm_002,Administrador,2026-01-28,23,48,221.21,2.979,0.0,0.25,143.0,1.0,10.0,0.0933750698997876
us_adm_002_20260129230323,us_adm_002,Administrador,2026-01-29,23,42,229.87,3.0,300.0,0.3095,126.0,1.0,129.76100460166188,0.10961155562086833
us_adm_002_20260130230344,us_adm_002,Administrador,2026-01-30,23,58,230.5,3.0,560.1,0.3103,174.0,1.0,256.79848040236493,0.11597981221889077
us_adm_002_20260131230250,us_adm_002,Administrador,2026-01-31,23,56,235.96,2.946,1013.4,0.3036,165.0,1.0,430.06787629276135,0.10618761817339314
us_adm_002_20260201230231,us_adm_002,Administrador,2026-02-01,23,61,235.84,3.0,0.0,0.377,183.0,1.0,10.0,0.12945615565091037
us_adm_002_20260202230312,us_adm_002,Administrador,2026-02-02,23,49,230.6,3.0,441.5,0.3265,147.0,1.0,213.5518641674886,0.1190259821854783
us_adm_002_20260203230223,us_adm_002,Administrador,2026-02-03,23,53,230.22,3.0,174.1,0.434,159.0,1.0,73.67379561939248,0.1626670417004355
us_adm_002_20260204230603,us_adm_002,Administrador,2026-02-04,23,53,233.93,3.0,594.5,0.3396,159.0,1.0,291.79856621473834,0.1280634717915989
us_adm_002_20260205230412,us_adm_002,Administrador,2026-02-05,23,53,231.46,3.0,116.3,0.3208,159.0,1.0,48.61336481402969,0.111242831607845
us_adm_002_20260206230909,us_adm_002,Administrador,2026-02-06,23,52,226.09,3.0,0.0,0.4038,156.0,1.0,10.0,0.13822002268598535
us_adm_002_20260207230516,us_adm_002,Administrador,2026-02-07,23,64,225.69,3.0,1258.9,0.2969,192.0,1.0,575.6490016908981,0.11043026088023118
us_adm_002_20260208230045,us_adm_002,Administrador,2026-02-08,23,57,232.63,3.0,273.6,0.2807,171.0,1.0,117.60654613694412,0.09972179239300456
us_adm_002_20260209230027,us_adm_002,Administrador,2026-02-09,23,65,239.21,3.0,691.8,0.2769,195.0,1.0,265.34801863119145,0.09302839285519394
us_adm_002_20260210230557,us_adm_002,Administrador,2026-02-10,23,54,228.54,3.0,739.7,0.2222,162.0,1.0,327.93544225216067,0.07365839992644502
us_adm_002_20260211230445,us_adm_002,Administrador,2026-02-11,23,47,227.03,2.979,440.8,0.2766,140.0,1.0,212.04037031352587,0.09068297402615406
us_adm_002_20260212230032,us_adm_002,Administrador,2026-02-12,23,54,237.16,2.981,261.0,0.3704,161.0,1.0,114.73200003750628,0.13299820361589026
us_adm_002_20260213230100,us_adm_002,Administrador,2026-02-13,23,62,235.58,2.984,167.4,0.2581,185.0,1.0,79.88538297179338,0.08458824086593433
us_adm_002_20260214230058,us_adm_002,Administrador,2026-02-14,23,55,233.06,3.0,0.0,0.2545,165.0,1.0,10.0,0.0907690217644607
us_adm_002_20260215230105,us_adm_002,Administrador,2026-02-15,23,64,224.93,3.0,0.0,0.2812,192.0,1.0,10.0,0.10283306348764376
us_adm_002_20260216230603,us_adm_002,Administrador,2026-02-16,23,52,232.03,3.0,678.3,0.3269,156.0,1.0,306.84141157208524,0.11259981431520037
us_adm_002_20260217230358,us_adm_002,Administrador,2026-02-17,23,60,235.2,2.983,160.4,0.3167,179.0,1.0,72.14521541122865,0.11044764948392924
us_adm_002_20260218230441,us_adm_002,Administrador,2026-02-18,23,66,233.0,3.0,139.9,0.2424,198.0,1.0,63.04697637072269,0.08961388047782
us_adm_002_20260219231144,us_adm_002,Administrador,2026-02-19,23,66,220.09,3.0,0.0,0.2576,198.0,1.0,10.0,0.08544471003391506
us_adm_002_20260220230727,us_adm_002,Administrador,2026-02-20,23,53,231.73,2.981,206.6,0.2264,158.0,1.0,101.4504680976281,0.07186159160505246
us_adm_002_20260221230119,us_adm_002,Administrador,2026-02-21,23,60,234.23,2.983,135.1,0.2167,179.0,1.0,60.16697344740741,0.07979283128903321
us_adm_002_20260222230028,us_adm_002,Administrador,2026-02-22,23,51,236.9,2.98,505.1,0.2941,152.0,1.0,229.31890242850452,0.101169700779254
us_adm_002_20260223230333,us_adm_002,Administrador,2026-02-23,23,55,235.47,3.0,3480.9,0.3636,165.0,1.0,1546.3015903359178,0.1260207036547739
us_adm_002_20260224230101,us_adm_002,Administrador,2026-02-24,23,62,237.0,3.0,0.0,0.3065,186.0,1.0,10.0,0.11446048020957762
us_adm_002_20260225230129,us_adm_002,Administrador,2026-02-25,23,70,236.38,2.971,317.3,0.3429,208.0,1.0,144.53884608038584,0.1174752840602186
us_adm_002_20260226230053,us_adm_002,Administrador,2026-02-26,23,49,230.63,3.0,1568.3,0.3673,147.0,1.0,731.4223335638072,0.13318209969971445
us_adm_002_20260227230032,us_adm_002,Administrador,2026-02-27,23,62,239.08,3.0,462.2,0.3226,186.0,1.0,214.75861355557964,0.11905365561067183
us_adm_002_20260228230439,us_adm_002,Administrador,2026-02-28,23,49,228.55,3.0,121.7,0.4286,147.0,1.0,52.55093582083504,0.1479732894137542
us_adm_002_20260301230443,us_adm_002,Administrador,2026-03-01,23,64,223.22,2.969,0.0,0.3594,190.0,1.0,10.0,0.13249605114535515
us_adm_002_20260302230030,us_adm_002,Administrador,2026-03-02,23,66,238.45,2.985,120.9,0.2273,197.0,1.0,54.1594599457947,0.08155482189742498
us_adm_002_20260303230304,us_adm_002,Administrador,2026-03-03,23,65,234.83,3.0,0.0,0.4,195.0,1.0,10.0,0.13784807405060373
us_adm_002_20260304230711,us_adm_002,Administrador,2026-03-04,23,37,181.64,3.0,467.1,0.3243,111.0,1.0,214.55259663811637,0.11428583652082992
us_adm_002_20260305024430,us_adm_002,Administrador,2026-03-05,2,4,10.66,3.0,100.1,0.25,12.0,1.0,44.44775061823589,0.09460678748574243
us_adm_002_20260305230418,us_adm_002,Administrador,2026-03-05,23,57,229.92,3.0,2372.6,0.3158,171.0,1.0,1103.0108823986318,0.11770554621581879
us_adm_002_20260306230438,us_adm_002,Administrador,2026-03-06,23,51,232.9,2.98,509.2,0.2941,152.0,1.0,241.61370584947906,0.10495596395132262
us_adm_002_20260307230030,us_adm_002,Administrador,2026-03-07,23,61,237.34,2.984,65.5,0.1803,182.0,1.0,30.262713231106087,0.06314940388217563
us_adm_002_20260308230132,us_adm_002,Administrador,2026-03-08,23,62,237.53,3.0,0.0,0.4355,186.0,1.0,10.0,0.15410113141581236
us_adm_002_20260309230217,us_adm_002,Administrador,2026-03-09,23,74,232.0,3.0,635.1,0.2568,222.0,1.0,286.0026879086279,0.09459350067619239
us_adm_002_20260310230250,us_adm_002,Administrador,2026-03-10,23,39,236.99,3.0,1453.6,0.3333,117.0,1.0,627.9881721680043,0.13275317616036447
us_adm_002_20260311230010,us_adm_002,Administrador,2026-03-11,23,55,234.28,3.0,0.0,0.3273,165.0,1.0,10.0,0.10871853424391735
us_adm_002_20260312230045,us_adm_002,Administrador,2026-03-12,23,51,234.41,3.0,444.5,0.3725,153.0,1.0,209.6036701815447,0.13867611287647552
us_adm_002_20260313230659,us_adm_002,Administrador,2026-03-13,23,70,230.51,3.0,0.0,0.2714,210.0,1.0,10.0,0.10015162716622202
us_adm_002_20260314230112,us_adm_002,Administrador,2026-03-14,23,29,106.05,3.0,0.0,0.2069,87.0,1.0,10.0,0.07003700012046907
us_adm_002_20260315012215,us_adm_002,Administrador,2026-03-15,1,21,86.84,2.952,2545.2,0.4762,62.0,1.0,1145.093593939971,0.16329296992407483
us_adm_002_20260315230104,us_adm_002,Administrador,2026-03-15,23,51,233.46,3.0,124.6,0.3137,153.0,1.0,58.29903063374156,0.11089623295619755
us_adm_002_20260316230908,us_adm_002,Administrador,2026-03-16,23,58,227.85,3.0,0.0,0.2586,174.0,1.0,10.0,0.09051617952374494
us_adm_002_20260317230006,us_adm_002,Administrador,2026-03-17,23,64,238.36,3.0,0.0,0.1875,192.0,1.0,10.0,0.06472071034633996
us_adm_002_20260318230036,us_adm_002,Administrador,2026-03-18,23,61,239.39,3.0,0.0,0.2459,183.0,1.0,10.0,0.08884990531902048
us_adm_002_20260319230234,us_adm_002,Administrador,2026-03-19,23,64,227.21,3.0,898.6,0.3281,192.0,1.0,407.3231843772564,0.11362521307676307
us_adm_002_20260320232357,us_adm_002,Administrador,2026-03-20,23,50,203.01,3.0,0.0,0.16,150.0,1.0,10.0,0.057774817864060586
us_adm_002_20260321230443,us_adm_002,Administrador,2026-03-21,23,60,222.13,2.967,1763.9,0.35,178.0,1.0,739.8244806006576,0.11490581809549318
us_adm_002_20260322230014,us_adm_002,Administrador,2026-03-22,23,57,238.96,3.0,0.0,0.2982,171.0,1.0,10.0,0.10502087215493251
us_adm_002_20260323230155,us_adm_002,Administrador,2026-03-23,23,55,236.59,3.0,0.0,0.2364,165.0,1.0,10.0,0.09124064548406009
us_adm_002_20260324231014,us_adm_002,Administrador,2026-03-24,23,25,81.13,3.0,367.6,0.36,75.0,1.0,171.13261032397483,0.12717102322942464
us_adm_002_20260325010249,us_adm_002,Administrador,2026-03-25,1,17,115.63,3.0,101.4,0.1176,51.0,1.0,45.42788674327658,0.03956076061179124
us_adm_002_20260325230115,us_adm_002,Administrador,2026-03-25,23,55,233.94,2.964,683.2,0.2727,163.0,1.0,306.0851010259291,0.09563001062203927
us_adm_002_20260326230012,us_adm_002,Administrador,2026-03-26,23,57,239.65,2.982,7.3,0.2105,170.0,1.0,10.0,0.07155042224377377
