session_id,user_id,role,fecha,hora_inicio,n_clics,duracion_min,M1_pre,M2_pre,M3_pre,costo_sesion_total,M1_post,M2_post,M3_post,delta_M1,delta_M2,delta_M3,red_M1_pct,red_M2_pct,red_M3_pct
bot_Administrador_a86b_20260504070018,bot_Administrador_a86b,Administrador,2026-05-04,7,23,61.22,2.609,350.0,0.0435,60.0,2.2910752482191272,306.92316514991967,0.03573822601158818,0.31792475178087276,43.07683485008033,0.007761773988411817,12.19,12.31,17.84
bot_Administrador_a86b_20260504083621,bot_Administrador_a86b,Administrador,2026-05-04,8,4,36.33,2.25,2180.0,0.5,9.0,1.9406645682313228,1798.3796971807674,0.3695369502408143,0.30933543176867717,381.6203028192326,0.1304630497591857,13.75,17.51,26.09
bot_Administrador_a86b_20260504104907,bot_Administrador_a86b,Administrador,2026-05-04,10,4,80.32,2.75,0.0,0.0,11.0,2.2888464213457276,0.0,0.0,0.4611535786542724,0.0,0.0,16.77,,
bot_Administrador_a86b_20260504124136,bot_Administrador_a86b,Administrador,2026-05-04,12,3,23.03,3.0,14.0,0.0,9.0,2.656442743435269,10.525871891246085,0.0,0.3435572565647309,3.4741281087539146,0.0,11.45,24.82,
bot_Administrador_a86b_20260504134219,bot_Administrador_a86b,Administrador,2026-05-04,13,6,60.22,2.667,1579.0,0.0,16.0,2.264405377906484,1272.9170080758445,0.0,0.40259462209351593,306.0829919241555,0.0,15.1,19.38,
bot_Administrador_a86b_20260504161108,bot_Administrador_a86b,Administrador,2026-05-04,16,4,27.98,2.5,1009.0,0.0,10.0,2.2996249403119937,894.5430820094122,0.0,0.20037505968800629,114.45691799058784,0.0,8.02,11.34,
bot_Administrador_a86b_20260504171714,bot_Administrador_a86b,Administrador,2026-05-04,17,13,101.75,2.538,1142.0,0.1538,33.0,2.1645063495044803,978.1951419331434,0.13254134202757092,0.3734936504955195,163.80485806685658,0.021258657972429068,14.72,14.34,13.82
bot_Administrador_a86b_20260505071336,bot_Administrador_a86b,Administrador,2026-05-05,7,24,108.35,2.5,595.0,0.1667,60.0,2.1108532202693384,494.27664544425147,0.12630579799165972,0.3891467797306616,100.72335455574853,0.04039420200834026,15.57,16.93,24.23
bot_Administrador_a86b_20260505110917,bot_Administrador_a86b,Administrador,2026-05-05,11,4,5.0,2.75,25.0,0.0,11.0,2.2233465891889077,22.015657277992748,0.0,0.5266534108110923,2.984342722007252,0.0,19.15,11.94,
bot_Administrador_a86b_20260505120026,bot_Administrador_a86b,Administrador,2026-05-05,12,5,47.58,3.0,2855.0,0.2,15.0,2.5940984817629498,2541.454321174086,0.16621636025047634,0.40590151823705023,313.5456788259139,0.03378363974952367,13.53,10.98,16.89
bot_Administrador_a86b_20260505142506,bot_Administrador_a86b,Administrador,2026-05-05,14,5,40.28,2.4,1929.0,0.0,12.0,2.006505629447385,1655.2166061512864,0.0,0.3934943705526148,273.78339384871356,0.0,16.4,14.19,
bot_Administrador_a86b_20260505153804,bot_Administrador_a86b,Administrador,2026-05-05,15,2,5.2,3.0,312.0,0.0,6.0,2.599526094133507,286.4884410306985,0.0,0.4004739058664928,25.511558969301518,0.0,13.35,8.18,
bot_Administrador_a86b_20260505172243,bot_Administrador_a86b,Administrador,2026-05-05,17,20,82.33,2.6,767.0,0.05,52.0,2.364427325568779,647.6182550669338,0.039902481623835334,0.23557267443122099,119.38174493306622,0.010097518376164669,9.06,15.56,20.2
bot_Administrador_a86b_20260506070834,bot_Administrador_a86b,Administrador,2026-05-06,7,23,57.15,2.826,0.0,0.0435,65.0,2.4667815977244665,0.0,0.034887713643953405,0.3592184022755336,0.0,0.008612286356046592,12.71,,19.8
bot_Administrador_a86b_20260506092805,bot_Administrador_a86b,Administrador,2026-05-06,9,5,45.32,2.8,730.0,0.4,14.0,2.481235760011644,667.1431326330653,0.3148345956345271,0.3187642399883557,62.856867366934694,0.08516540436547293,11.38,8.61,21.29
bot_Administrador_a86b_20260506111130,bot_Administrador_a86b,Administrador,2026-05-06,11,4,28.95,2.75,1715.0,0.0,11.0,2.2766571296021865,1397.574333512626,0.0,0.47334287039781353,317.425666487374,0.0,17.21,18.51,
bot_Administrador_a86b_20260506122049,bot_Administrador_a86b,Administrador,2026-05-06,12,3,1.43,2.667,37.0,0.0,8.0,2.3595950604731186,30.099943623030978,0.0,0.3074049395268812,6.900056376969022,0.0,11.53,18.65,
bot_Administrador_a86b_20260506153311,bot_Administrador_a86b,Administrador,2026-05-06,15,3,0.83,3.0,0.0,0.0,9.0,2.619461632402206,0.0,0.0,0.380538367597794,0.0,0.0,12.68,,
bot_Administrador_a86b_20260506162311,bot_Administrador_a86b,Administrador,2026-05-06,16,2,7.62,3.0,457.0,0.0,6.0,2.5557506780103347,374.92032870093016,0.0,0.44424932198966527,82.07967129906984,0.0,14.81,17.96,
bot_Administrador_a86b_20260506171524,bot_Administrador_a86b,Administrador,2026-05-06,17,22,103.77,2.545,581.0,0.0909,56.0,2.247504805256467,495.62365565682575,0.07392494066043998,0.2974951947435329,85.37634434317425,0.01697505933956002,11.69,14.69,18.67
bot_Administrador_a86b_20260507070420,bot_Administrador_a86b,Administrador,2026-05-07,7,23,76.22,2.478,857.0,0.0,57.0,2.1225820541748197,659.2313637031397,0.0,0.3554179458251805,197.76863629686034,0.0,14.34,23.08,
bot_Administrador_a86b_20260507090545,bot_Administrador_a86b,Administrador,2026-05-07,9,6,23.35,2.333,1396.0,0.0,14.0,1.9857662516471524,1116.641046608331,0.0,0.3472337483528478,279.35895339166905,0.0,14.88,20.01,
bot_Administrador_a86b_20260507101206,bot_Administrador_a86b,Administrador,2026-05-07,10,3,25.12,2.667,1507.0,0.0,8.0,2.3696362817562187,1408.0041076562134,0.0,0.29736371824378116,98.99589234378664,0.0,11.15,6.57,
bot_Administrador_a86b_20260507120015,bot_Administrador_a86b,Administrador,2026-05-07,12,8,72.1,3.0,2819.0,0.0,24.0,2.6435325586084146,2357.4668481727585,0.0,0.35646744139158537,461.53315182724145,0.0,11.88,16.37,
bot_Administrador_a86b_20260507164919,bot_Administrador_a86b,Administrador,2026-05-07,16,26,116.0,2.615,4361.0,0.0385,68.0,2.267137810785015,3676.3731972776404,0.03604224106653418,0.34786218921498513,684.6268027223596,0.002457758933465823,13.3,15.7,6.38
bot_Caja_1125_20260501082736,bot_Caja_1125,Caja,2026-05-01,8,19,100.62,2.0,1739.0,0.2105,38.0,1.0259639035218877,815.7255414159075,0.0760461586238523,0.9740360964781123,923.2744585840925,0.1344538413761477,48.7,53.09,63.87
bot_Caja_1125_20260501105922,bot_Caja_1125,Caja,2026-05-01,10,5,45.65,2.0,877.0,0.0,10.0,1.0,448.27078041648366,0.0,1.0,428.72921958351634,0.0,50.0,48.89,
bot_Caja_1125_20260501123601,bot_Caja_1125,Caja,2026-05-01,12,5,11.22,2.0,0.0,0.0,10.0,1.1243031947043045,0.0,0.0,0.8756968052956955,0.0,0.0,43.78,,
bot_Caja_1125_20260501131912,bot_Caja_1125,Caja,2026-05-01,13,24,200.53,2.0,1322.0,0.25,48.0,1.0,638.9792539001978,0.11813069532262473,1.0,683.0207460998022,0.1318693046773753,50.0,51.67,52.75
bot_Caja_1125_20260501172815,bot_Caja_1125,Caja,2026-05-01,17,5,30.92,2.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,50.0,,
bot_Caja_1125_20260502080917,bot_Caja_1125,Caja,2026-05-02,8,2,16.93,2.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,50.0,,
bot_Caja_1125_20260502101553,bot_Caja_1125,Caja,2026-05-02,10,2,0.42,2.0,0.0,0.5,4.0,1.0,0.0,0.1585143941441549,1.0,0.0,0.3414856058558451,50.0,,68.3
bot_Caja_1125_20260502134438,bot_Caja_1125,Caja,2026-05-02,13,5,20.05,2.0,1203.0,0.0,10.0,1.2001934405017538,499.0493144659753,0.0,0.7998065594982462,703.9506855340246,0.0,39.99,58.52,
bot_Caja_1125_20260502144354,bot_Caja_1125,Caja,2026-05-02,14,5,15.12,2.0,884.0,0.2,10.0,1.126551721736967,346.9317972136192,0.07487459934604129,0.8734482782630331,537.0682027863809,0.12512540065395872,43.67,60.75,62.56
bot_Caja_1125_20260502173438,bot_Caja_1125,Caja,2026-05-02,17,2,0.72,2.0,0.0,0.0,4.0,1.1759142754282428,0.0,0.0,0.8240857245717572,0.0,0.0,41.2,,
bot_Caja_1125_20260503105429,bot_Caja_1125,Caja,2026-05-03,10,2,0.17,2.0,0.0,0.5,4.0,1.0711882794248422,0.0,0.15057623222804795,0.9288117205751578,0.0,0.34942376777195205,46.44,,69.88
bot_Caja_1125_20260503130603,bot_Caja_1125,Caja,2026-05-03,13,7,76.53,2.0,858.0,0.1429,14.0,1.0,411.9232931649649,0.05399465549025111,1.0,446.0767068350351,0.08890534450974888,50.0,51.99,62.22
bot_Caja_1125_20260504080726,bot_Caja_1125,Caja,2026-05-04,8,16,123.37,2.0,0.0,0.375,32.0,1.0702492850345875,0.0,0.1233745364704033,0.9297507149654125,0.0,0.2516254635295967,46.49,,67.1
bot_Caja_1125_20260504115824,bot_Caja_1125,Caja,2026-05-04,11,11,54.73,2.0,1768.0,0.1818,22.0,1.0684253697161004,828.5796066396033,0.05949994561014031,0.9315746302838996,939.4203933603967,0.12230005438985968,46.58,53.13,67.27
bot_Caja_1125_20260504132508,bot_Caja_1125,Caja,2026-05-04,13,9,59.73,2.0,829.0,0.1111,18.0,1.2317774511144757,396.0063745717936,0.033711609073039286,0.7682225488855243,432.9936254282064,0.07738839092696072,38.41,52.23,69.66
bot_Caja_1125_20260504153916,bot_Caja_1125,Caja,2026-05-04,15,6,42.93,2.0,1722.0,0.0,12.0,1.1108553608633829,697.8679081934275,0.0,0.8891446391366171,1024.1320918065726,0.0,44.46,59.47,
bot_Caja_1125_20260504165811,bot_Caja_1125,Caja,2026-05-04,16,3,20.23,2.0,0.0,0.3333,6.0,1.1610595579007403,0.0,0.13704256319385663,0.8389404420992597,0.0,0.19625743680614335,41.95,,58.88
bot_Caja_1125_20260505080302,bot_Caja_1125,Caja,2026-05-05,8,5,30.28,2.0,0.0,0.4,10.0,1.0864780926936497,0.0,0.18313585965307896,0.9135219073063503,0.0,0.21686414034692106,45.68,,54.22
bot_Caja_1125_20260505093109,bot_Caja_1125,Caja,2026-05-05,9,11,75.42,2.0,200.0,0.1818,22.0,1.0206611883997128,83.26263835642509,0.05790771383470399,0.9793388116002872,116.73736164357491,0.12389228616529599,48.97,58.37,68.15
bot_Caja_1125_20260505114934,bot_Caja_1125,Caja,2026-05-05,11,3,12.1,2.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,50.0,,
bot_Caja_1125_20260505124037,bot_Caja_1125,Caja,2026-05-05,12,10,77.02,2.0,0.0,0.4,20.0,1.0728690799330018,0.0,0.14546003783755815,0.9271309200669982,0.0,0.2545399621624419,46.36,,63.63
bot_Caja_1125_20260505144400,bot_Caja_1125,Caja,2026-05-05,14,4,1.43,2.0,77.0,0.0,8.0,1.1905534077157316,33.939071192033865,0.0,0.8094465922842684,43.060928807966135,0.0,40.47,55.92,
bot_Caja_1125_20260505154314,bot_Caja_1125,Caja,2026-05-05,15,4,15.92,2.0,955.0,0.0,8.0,1.1077667347765006,392.6407266811225,0.0,0.8922332652234994,562.3592733188775,0.0,44.61,58.89,
bot_Caja_1125_20260505163910,bot_Caja_1125,Caja,2026-05-05,16,3,0.73,2.0,44.0,0.0,6.0,1.0934472415243184,19.484381872283127,0.0,0.9065527584756816,24.515618127716873,0.0,45.33,55.72,
bot_Caja_1125_20260506083913,bot_Caja_1125,Caja,2026-05-06,8,3,7.25,2.0,37.0,0.0,6.0,1.0925237624573545,16.663266511584784,0.0,0.9074762375426455,20.336733488415216,0.0,45.37,54.96,
bot_Caja_1125_20260506091957,bot_Caja_1125,Caja,2026-05-06,9,4,8.32,2.0,0.0,0.25,8.0,1.0,0.0,0.1014549849290434,1.0,0.0,0.1485450150709566,50.0,,59.42
bot_Caja_1125_20260506100140,bot_Caja_1125,Caja,2026-05-06,10,4,20.6,2.0,0.0,0.25,8.0,1.0666093744130203,0.0,0.09291476157313977,0.9333906255869797,0.0,0.15708523842686023,46.67,,62.83
bot_Caja_1125_20260506112217,bot_Caja_1125,Caja,2026-05-06,11,31,306.93,2.0,0.0,0.3871,62.0,1.0837317379728837,0.0,0.14349264942557569,0.9162682620271163,0.0,0.24360735057442431,45.81,,62.93
bot_Caja_1125_20260506172907,bot_Caja_1125,Caja,2026-05-06,17,3,27.3,2.0,0.0,0.0,6.0,1.0510208718446,0.0,0.0,0.9489791281554001,0.0,0.0,47.45,,
bot_Caja_1125_20260507082714,bot_Caja_1125,Caja,2026-05-07,8,22,204.75,2.0,419.0,0.3182,44.0,1.1012784526368233,212.91592354452203,0.1322725906478753,0.8987215473631767,206.08407645547797,0.18592740935212468,44.94,49.18,58.43
bot_Caja_1125_20260507125437,bot_Caja_1125,Caja,2026-05-07,12,15,100.03,2.0,810.0,0.1333,30.0,1.0,329.75808588343745,0.051820610055945716,1.0,480.24191411656255,0.08147938994405429,50.0,59.29,61.12
bot_Caja_1125_20260507161720,bot_Caja_1125,Caja,2026-05-07,16,8,83.97,2.0,636.0,0.25,16.0,1.0965785950912208,305.1225164245323,0.13890914363318402,0.9034214049087792,330.8774835754677,0.11109085636681598,45.17,52.02,44.44
bot_Caja_22f0_20260501082715,bot_Caja_22f0,Caja,2026-05-01,8,6,42.77,2.0,0.0,0.0,12.0,1.1246890510693168,0.0,0.0,0.8753109489306832,0.0,0.0,43.77,,
bot_Caja_22f0_20260501094712,bot_Caja_22f0,Caja,2026-05-01,9,6,53.63,2.0,3218.0,0.0,12.0,1.1327391251305798,1410.2451785373682,0.0,0.8672608748694202,1807.7548214626318,0.0,43.36,56.18,
bot_Caja_22f0_20260501111619,bot_Caja_22f0,Caja,2026-05-01,11,50,392.43,2.0,0.0,0.16,100.0,1.0,0.0,0.054197091617367174,1.0,0.0,0.10580290838263283,50.0,,66.13
bot_Caja_22f0_20260502134716,bot_Caja_22f0,Caja,2026-05-02,13,5,4.32,2.0,249.0,0.0,10.0,1.0757874139386323,141.86349915508518,0.0,0.9242125860613677,107.13650084491482,0.0,46.21,43.03,
bot_Caja_22f0_20260502143837,bot_Caja_22f0,Caja,2026-05-02,14,3,9.33,2.0,0.0,0.0,6.0,1.1362260190374514,0.0,0.0,0.8637739809625486,0.0,0.0,43.19,,
bot_Caja_22f0_20260502154506,bot_Caja_22f0,Caja,2026-05-02,15,5,8.58,2.0,0.0,0.2,10.0,1.1764950596967367,0.0,0.06182255222070694,0.8235049403032633,0.0,0.13817744777929308,41.18,,69.09
bot_Caja_22f0_20260502170402,bot_Caja_22f0,Caja,2026-05-02,17,4,24.05,2.0,1443.0,0.0,8.0,1.0,704.1549775856369,0.0,1.0,738.8450224143631,0.0,50.0,51.2,
bot_Caja_22f0_20260503081633,bot_Caja_22f0,Caja,2026-05-03,8,5,5.23,2.0,0.0,0.0,10.0,1.0892458589581977,0.0,0.0,0.9107541410418023,0.0,0.0,45.54,,
bot_Caja_22f0_20260503092217,bot_Caja_22f0,Caja,2026-05-03,9,3,17.55,2.0,0.0,0.6667,6.0,1.2819944089325328,0.0,0.17450397187376868,0.7180055910674672,0.0,0.4921960281262313,35.9,,73.83
bot_Caja_22f0_20260503144919,bot_Caja_22f0,Caja,2026-05-03,14,2,0.47,2.0,0.0,0.5,4.0,1.086245431476943,0.0,0.2028108333699056,0.913754568523057,0.0,0.2971891666300944,45.69,,59.44
bot_Caja_22f0_20260504081743,bot_Caja_22f0,Caja,2026-05-04,8,4,10.35,2.0,0.0,0.75,8.0,1.0,0.0,0.29118702296176713,1.0,0.0,0.45881297703823287,50.0,,61.18
bot_Caja_22f0_20260504093643,bot_Caja_22f0,Caja,2026-05-04,9,2,0.73,2.0,0.0,0.0,4.0,1.1541755194170122,0.0,0.0,0.8458244805829878,0.0,0.0,42.29,,
bot_Caja_22f0_20260504103035,bot_Caja_22f0,Caja,2026-05-04,10,2,0.18,2.0,0.0,0.5,4.0,1.0201054688839044,0.0,0.22563635600702742,0.9798945311160956,0.0,0.2743636439929726,48.99,,54.87
bot_Caja_22f0_20260504112422,bot_Caja_22f0,Caja,2026-05-04,11,4,26.57,2.0,0.0,0.25,8.0,1.1080981710960958,0.0,0.1022232743381847,0.8919018289039042,0.0,0.1477767256618153,44.6,,59.11
bot_Caja_22f0_20260504122705,bot_Caja_22f0,Caja,2026-05-04,12,11,95.32,2.0,0.0,0.4545,22.0,1.2798156197012633,0.0,0.13045581752369503,0.7201843802987367,0.0,0.32404418247630495,36.01,,71.3
bot_Caja_22f0_20260504145247,bot_Caja_22f0,Caja,2026-05-04,14,2,24.5,2.0,1470.0,0.5,4.0,1.019176592713375,760.4979694652167,0.16380826335953047,0.9808234072866251,709.5020305347833,0.33619173664046953,49.04,48.27,67.24
bot_Caja_22f0_20260504154751,bot_Caja_22f0,Caja,2026-05-04,15,13,58.5,2.0,0.0,0.2308,26.0,1.111981942814623,0.0,0.07308362235798893,0.8880180571853771,0.0,0.15771637764201107,44.4,,68.33
bot_Caja_22f0_20260505082354,bot_Caja_22f0,Caja,2026-05-05,8,13,118.83,2.0,0.0,0.0769,26.0,1.06164746439382,0.0,0.023975929519069652,0.9383525356061799,0.0,0.05292407048093034,46.92,,68.82
bot_Caja_22f0_20260505110140,bot_Caja_22f0,Caja,2026-05-05,11,3,26.17,2.0,0.0,0.0,6.0,1.0423431848606841,0.0,0.0,0.9576568151393159,0.0,0.0,47.88,,
bot_Caja_22f0_20260505123405,bot_Caja_22f0,Caja,2026-05-05,12,11,110.73,2.0,1788.0,0.0909,22.0,1.0,772.4120228892896,0.033590915923765285,1.0,1015.5879771107104,0.05730908407623471,50.0,56.8,63.05
bot_Caja_22f0_20260505154824,bot_Caja_22f0,Caja,2026-05-05,15,5,19.38,2.0,1163.0,0.2,10.0,1.2117273289066117,444.5066159089156,0.08423163752154961,0.7882726710933883,718.4933840910844,0.1157683624784504,39.41,61.78,57.88
bot_Caja_22f0_20260505170153,bot_Caja_22f0,Caja,2026-05-05,17,8,54.17,2.0,1162.0,0.125,16.0,1.0686233061019588,470.522347374114,0.048263146714145444,0.9313766938980412,691.477652625886,0.07673685328585456,46.57,59.51,61.39
bot_Caja_22f0_20260506081423,bot_Caja_22f0,Caja,2026-05-06,8,13,74.92,2.0,0.0,0.3077,26.0,1.087505969557347,0.0,0.11276900507757144,0.912494030442653,0.0,0.19493099492242855,45.62,,63.35
bot_Caja_22f0_20260506111440,bot_Caja_22f0,Caja,2026-05-06,11,6,38.28,2.0,0.0,0.1667,12.0,1.029068640313824,0.0,0.06603095917213292,0.9709313596861759,0.0,0.10066904082786707,48.55,,60.39
bot_Caja_22f0_20260506123624,bot_Caja_22f0,Caja,2026-05-06,12,8,81.95,2.0,0.0,0.5,16.0,1.2262016816145354,0.0,0.23482583436640667,0.7737983183854646,0.0,0.2651741656335933,38.69,,53.03
bot_Caja_22f0_20260506142933,bot_Caja_22f0,Caja,2026-05-06,14,8,32.82,2.0,1010.0,0.125,16.0,1.0,450.874852700703,0.0490519825405286,1.0,559.1251472992969,0.0759480174594714,50.0,55.36,60.76
bot_Caja_22f0_20260506164648,bot_Caja_22f0,Caja,2026-05-06,16,10,65.58,2.0,0.0,0.1,20.0,1.0956991867735033,0.0,0.035259388748213626,0.9043008132264967,0.0,0.06474061125178637,45.22,,64.74
bot_Caja_22f0_20260507080913,bot_Caja_22f0,Caja,2026-05-07,8,3,16.7,2.0,0.0,0.6667,6.0,1.0182999065341167,0.0,0.2703335859041958,0.9817000934658833,0.0,0.39636641409580414,49.09,,59.45
bot_Caja_22f0_20260507085841,bot_Caja_22f0,Caja,2026-05-07,8,10,36.87,2.0,1262.0,0.0,20.0,1.1033015485965048,529.2254045390526,0.0,0.8966984514034952,732.7745954609474,0.0,44.83,58.06,
bot_Caja_22f0_20260507101316,bot_Caja_22f0,Caja,2026-05-07,10,13,71.5,2.0,207.0,0.3077,26.0,1.098329952087661,102.39112292998323,0.12138193973299476,0.901670047912339,104.60887707001677,0.1863180602670052,45.08,50.54,60.55
bot_Caja_22f0_20260507120123,bot_Caja_22f0,Caja,2026-05-07,12,16,116.75,2.0,0.0,0.25,32.0,1.0,0.0,0.10009117006404077,1.0,0.0,0.14990882993595922,50.0,,59.96
bot_Caja_22f0_20260507145032,bot_Caja_22f0,Caja,2026-05-07,15,4,15.13,2.0,0.0,0.0,8.0,1.1286370265433465,0.0,0.0,0.8713629734566535,0.0,0.0,43.57,,
bot_Caja_22f0_20260507155939,bot_Caja_22f0,Caja,2026-05-07,15,12,114.15,2.0,4072.0,0.0,24.0,1.1953664895788425,1728.244065233025,0.0,0.8046335104211575,2343.755934766975,0.0,40.23,57.56,
bot_Compras_6cd7_20260501090421,bot_Compras_6cd7,Compras,2026-05-01,9,10,58.77,2.0,746.0,0.0,20.0,1.6919807347566105,622.2504911196247,0.0,0.3080192652433895,123.74950888037529,0.0,15.4,16.59,
bot_Compras_6cd7_20260501110014,bot_Compras_6cd7,Compras,2026-05-01,11,7,102.07,2.0,0.0,0.0,14.0,1.794741634898803,0.0,0.0,0.205258365101197,0.0,0.0,10.26,,
bot_Compras_6cd7_20260501141343,bot_Compras_6cd7,Compras,2026-05-01,14,8,73.23,2.0,820.0,0.0,16.0,1.7143003841632758,720.8600718230934,0.0,0.2856996158367242,99.13992817690655,0.0,14.28,12.09,
bot_Compras_6cd7_20260501161755,bot_Compras_6cd7,Compras,2026-05-01,16,3,0.93,2.0,56.0,0.0,6.0,1.7446166352488441,46.95559944777048,0.0,0.25538336475115586,9.044400552229519,0.0,12.77,16.15,
bot_Compras_6cd7_20260501165300,bot_Compras_6cd7,Compras,2026-05-01,16,5,28.58,2.0,0.0,0.2,10.0,1.7717157025436914,0.0,0.18472387275685462,0.22828429745630863,0.0,0.015276127243145393,11.41,,7.64
bot_Compras_6cd7_20260502092145,bot_Compras_6cd7,Compras,2026-05-02,9,2,0.23,2.0,0.0,0.0,4.0,1.6115982618500297,0.0,0.0,0.38840173814997025,0.0,0.0,19.42,,
bot_Compras_6cd7_20260502112957,bot_Compras_6cd7,Compras,2026-05-02,11,2,0.4,2.0,24.0,0.0,4.0,1.7913662693962935,21.028943780462587,0.0,0.2086337306037065,2.971056219537413,0.0,10.43,12.38,
bot_Compras_6cd7_20260502121320,bot_Compras_6cd7,Compras,2026-05-02,12,5,13.92,2.0,835.0,0.0,10.0,1.7109753227153084,668.1146299904665,0.0,0.2890246772846916,166.88537000953352,0.0,14.45,19.99,
bot_Compras_6cd7_20260502144844,bot_Compras_6cd7,Compras,2026-05-02,14,5,57.3,2.0,0.0,0.0,10.0,1.6444838288487889,0.0,0.0,0.35551617115121115,0.0,0.0,17.78,,
bot_Compras_6cd7_20260503101606,bot_Compras_6cd7,Compras,2026-05-03,10,2,6.93,2.0,416.0,0.0,4.0,1.6296502803207489,344.8351744936177,0.0,0.3703497196792511,71.16482550638227,0.0,18.52,17.11,
bot_Compras_6cd7_20260503141434,bot_Compras_6cd7,Compras,2026-05-03,14,3,36.38,2.0,0.0,0.3333,6.0,1.6558275447196025,0.0,0.2770337473795127,0.3441724552803975,0.0,0.05626625262048729,17.21,,16.88
bot_Compras_6cd7_20260504095905,bot_Compras_6cd7,Compras,2026-05-04,9,2,0.45,2.0,0.0,0.0,4.0,1.7366966571108722,0.0,0.0,0.2633033428891278,0.0,0.0,13.17,,
bot_Compras_6cd7_20260504135609,bot_Compras_6cd7,Compras,2026-05-04,13,3,2.37,2.0,142.0,0.0,6.0,1.7354049937357636,109.708601175369,0.0,0.2645950062642364,32.291398824631,0.0,13.23,22.74,
bot_Compras_6cd7_20260504142839,bot_Compras_6cd7,Compras,2026-05-04,14,2,3.43,2.0,206.0,0.0,4.0,1.6403555778747563,171.87149433736798,0.0,0.3596444221252437,34.12850566263202,0.0,17.98,16.57,
bot_Compras_6cd7_20260504150729,bot_Compras_6cd7,Compras,2026-05-04,15,24,119.0,2.0,2352.0,0.0833,48.0,1.8597356216949552,2088.3007716885577,0.06755655602270232,0.1402643783050448,263.6992283114423,0.015743443977297683,7.01,11.21,18.9
bot_Compras_6cd7_20260505080744,bot_Compras_6cd7,Compras,2026-05-05,8,5,37.93,2.0,0.0,0.0,10.0,1.710298379209731,0.0,0.0,0.28970162079026895,0.0,0.0,14.49,,
